date,AAPL,GOOGL,MSFT
2015-07-15,118.2036,583.74,42.1845
2015-07-16,120.1028,589.5,42.4892
2015-07-17,121.3627,680.0,42.9879
2015-07-20,123.1397,688.98,43.0803
2015-07-21,124.9073,684.88,43.2003
2015-07-22,114.6966,694.02,41.9629
2015-07-23,118.6549,691.85,41.8059
2015-07-24,117.8275,676.77,42.3969
2015-07-27,115.7308,651.57,42.4246
2015-07-28,116.0035,661.76,42.0921
2015-07-29,115.7872,662.26,41.9259
2015-07-30,115.0069,657.44,42.7201
2015-07-31,115.2701,664.7,43.6713
2015-08-03,114.2359,657.66,43.385
2015-08-04,110.3998,664.34,43.1726
2015-08-05,106.1971,665.75,44.3085
2015-08-06,109.5301,673.99,44.0592
2015-08-07,108.2172,667.78,42.8402
2015-08-10,110.059,667.09,43.3573
2015-08-11,111.2679,699.58,43.2373
2015-08-12,106.2811,694.49,42.6555
2015-08-13,109.5962,689.2,43.4589
2015-08-14,107.9717,684.04,42.9695
2015-08-17,109.5962,688.04,43.228
2015-08-18,109.9645,691.07,43.541
2015-08-19,109.6528,690.11,43.4852
2015-08-20,107.745,689.1,42.8252
2015-08-21,104.2977,671.04,42.1094
2015-08-24,89.6018,600.6,37.601
2015-08-25,104.9399,646.4675,39.5671
2015-08-26,101.1385,643.1,39.0512
2015-08-27,106.0166,672.0,40.1016
2015-08-28,105.9411,665.11,40.4083
2015-08-31,105.9033,656.26,40.6593
2015-09-01,104.0616,633.66,39.2557
2015-09-02,103.8916,638.64,39.265
2015-09-03,106.2433,647.93,40.3525
2015-09-04,102.9188,629.7,39.7948
2015-09-08,105.45,641.0,40.2503
2015-09-09,107.4428,651.88,41.0962
2015-09-10,104.1466,643.9,40.083
2015-09-11,105.5822,650.21,40.1016
2015-09-14,110.1062,655.63,40.3711
2015-09-15,109.4923,656.71,40.148
2015-09-16,109.7945,665.55,40.8731
2015-09-17,109.2373,667.49,41.1706
2015-09-18,105.9789,665.06,40.4362
2015-09-21,107.3578,665.51,40.5478
2015-09-22,107.0839,657.47,40.3247
2015-09-23,107.32,652.9,40.8359
2015-09-24,106.9611,648.97,40.3897
2015-09-25,109.974,658.58,41.3472
2015-09-28,107.5278,639.05,40.743
2015-09-29,106.5644,625.5,40.3154
2015-09-30,104.0521,631.83,40.7894
2015-10-01,103.0132,637.94,41.5982
2015-10-02,102.0121,638.01,41.152
2015-10-05,103.7782,661.6,42.5231
2015-10-06,104.4866,669.35,43.0669
2015-10-07,105.535,677.4,43.7827
2015-10-08,104.071,669.45,43.2807
2015-10-09,103.8916,667.49,44.108
2015-10-12,106.47,669.19,43.6711
2015-10-13,104.666,674.26,43.2807
2015-10-14,105.1099,683.73,43.3643
2015-10-15,104.7699,685.25,43.699
2015-10-16,105.5727,695.4,43.7083
2015-10-19,104.6472,694.0,44.0801
2015-10-20,105.1572,697.89,44.0987
2015-10-21,107.6695,683.21,44.5449
2015-10-22,107.9811,675.44,44.1824
2015-10-23,110.2195,750.06,48.6164
2015-10-26,111.5229,720.02,48.8302
2015-10-27,108.9917,726.57,50.1874
2015-10-28,110.4367,733.0,49.7691
2015-10-29,112.1085,736.63,49.7691
2015-10-30,114.2713,745.56,49.5646
2015-11-02,113.2135,737.88,49.1277
2015-11-03,114.0824,745.43,49.202
2015-11-04,116.2925,749.9,50.364
2015-11-05,115.5761,758.81,50.6522
2015-11-06,114.8742,759.39,50.2757
2015-11-09,114.7319,758.52,50.7079
2015-11-10,110.881,753.48,50.2617
2015-11-11,110.3783,762.38,49.9178
2015-11-12,110.2739,760.18,49.7133
2015-11-13,109.2685,754.04,49.3322
2015-11-16,105.6452,740.21,49.3415
2015-11-17,109.0029,752.47,49.7583
2015-11-18,109.7997,749.57,49.5992
2015-11-19,111.5829,759.78,50.5257
2015-11-20,113.0626,769.3,50.769
2015-11-23,113.129,777.47,50.769
2015-11-24,111.2888,772.96,50.4602
2015-11-25,113.072,771.69,50.6193
2015-11-27,112.1994,769.16,50.3479
2015-11-30,111.9149,771.87,51.0404
2015-12-01,112.6357,766.94,50.9187
2015-12-02,111.0233,785.25,51.7704
2015-12-03,110.549,780.56,51.9295
