Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
28,All,13586,15404,17023,16728,17708,19720,19519,22204,20323,22021,20788,20798,19253,18831,20062,21419,22802,22319,22517,20755,23479,19028,15975,16246,16481,20590,21502,22955,23885,22647,23355,23492,23090,24505,24706,24007,23930,24303,24455,24658,24413,23398,21951,20938,19297,18291,17765,18348,18882,19187
28,Female,8615,9789,10624,10342,10650,11301,10372,12199,10638,11424,10774,10798,9877,9465,9998,10927,11469,11191,11282,10203,11646,9440,7816,8167,8268,10320,10762,11364,11742,11103,11609,11710,11324,12079,12275,11917,11877,12217,12114,12311,12268,11497,10846,10367,9693,9175,9069,9235,9594,9710
28,Male,4971,5615,6399,6386,7058,8419,9147,10005,9685,10597,10014,10000,9376,9366,10064,10492,11333,11128,11235,10552,11833,9588,8159,8079,8213,10270,10740,11591,12143,11544,11746,11782,11766,12426,12431,12090,12053,12086,12341,12347,12145,11901,11105,10571,9604,9116,8696,9113,9288,9477
29,All,12806,14021,15758,17288,17157,17871,19808,19613,22323,20425,22077,20825,21094,19340,19009,20258,21508,22872,22265,22716,20992,23755,19087,16011,16282,16456,20560,21355,22856,23688,22543,23368,23465,23111,24499,24682,24127,24038,24352,24343,24592,24185,23061,21107,20279,18818,17966,17555,18226,18801
29,Female,7896,8780,9924,10726,10511,10711,11343,10498,12246,10681,11387,10765,10933,9932,9521,10112,10983,11518,11125,11374,10333,11863,9488,7859,8199,8272,10332,10732,11422,11780,11091,11691,11747,11386,12154,12309,12007,11985,12252,12116,12308,12203,11337,10469,10107,9522,9045,8988,9172,9546
29,Male,4910,5241,5834,6562,6646,7160,8465,9115,10077,9744,10690,10060,10161,9408,9488,10146,10525,11354,11140,11342,10659,11892,9599,8152,8083,8184,10228,10623,11434,11908,11452,11677,11718,11725,12345,12373,12120,12053,12100,12227,12284,11982,11724,10638,10172,9296,8921,8567,9054,9255
30,All,10593,13173,14331,15977,17650,17312,17949,19889,19699,22409,20626,22041,21045,21267,19439,19149,20320,21477,22867,22439,22919,21228,23833,19093,16081,16271,16420,20532,21350,22798,23698,22554,23394,23468,23046,24415,24690,24209,24105,24321,24271,24359,23875,22112,20376,19751,18478,17746,17409,18105
30,Female,6493,8060,8915,10018,10888,10573,10747,11456,10547,12282,10723,11343,10914,10989,10004,9606,10176,10994,11511,11169,11521,10518,11939,9509,7937,8215,8275,10368,10734,11481,11814,11161,11727,11791,11435,12173,12368,12079,12076,12279,12116,12210,12074,10933,10185,9893,9402,8961,8942,9114
30,Male,4100,5113,5416,5959,6762,6739,7202,8433,9152,10127,9903,10698,10131,10278,9435,9543,10144,10483,11356,11270,11398,10710,11894,9584,8144,8056,8145,10164,10616,11317,11884,11393,11667,11677,11611,12242,12322,12130,12029,12042,12155,12149,11801,11179,10191,9858,9076,8785,8467,8991
31,All,12503,10904,13423,14520,16286,17779,17375,18010,19967,19753,22372,20661,22143,21212,21475,19482,19223,20364,21347,23127,22520,23090,21339,23819,19088,16046,16265,16324,20498,21227,22655,23679,22594,23389,23390,23030,24398,24677,24176,23999,24241,24052,24045,22881,21439,19819,19370,18195,17581,17269
31,Female,7513,6611,8154,8983,10129,10934,10590,10830,11494,10568,12201,10719,11397,10991,11070,10013,9696,10231,10937,11619,11244,11628,10606,11973,9522,7974,8227,8265,10347,10715,11451,11868,11224,11757,11800,11494,12246,12416,12111,12089,12243,12040,12093,11638,10692,9984,9762,9300,8903,8886
31,Male,4990,4293,5269,5537,6157,6845,6785,7180,8473,9185,10171,9942,10746,10221,10405,9469,9527,10133,10410,11508,11276,11462,10733,11846,9566,8072,8038,8059,10151,10512,11204,11811,11370,11632,11590,11536,12152,12261,12065,11910,11998,12012,11952,11243,10747,9835,9608,8895,8678,8383
32,All,8518,12823,11156,13610,14821,16420,17827,17437,18090,20035,20009,22220,20843,22227,21350,21679,19539,19212,20257,21412,23272,22834,23173,21299,23747,19057,15993,16220,16306,20436,21174,22612,23673,22532,23332,23312,23015,24340,24652,24041,23952,24039,23755,23006,22117,20909,19437,19062,18026,17441
32,Female,5257,7638,6710,8224,9095,10180,10948,10674,10865,11520,10624,12080,10827,11427,11066,11170,10055,9716,10173,10916,11720,11475,11690,10600,11969,9526,7982,8214,8272,10327,10715,11449,11891,11230,11755,11799,11513,12251,12448,12109,12076,12163,11920,11603,11304,10491,9840,9652,9252,8860
32,Male,3261,5185,4446,5386,5726,6240,6879,6763,7225,8515,9385,10140,10016,10800,10284,10509,9484,9496,10084,10496,11552,11359,11483,10699,11778,9531,8011,8006,8034,10109,10459,11163,11782,11302,11577,11513,11502,12089,12204,11932,11876,11876,11835,11403,10813,10418,9597,9410,8774,8581
33,All,10609,8798,13037,11328,13871,14930,16461,17852,17506,18150,20085,20110,22290,21036,22318,21487,21735,19498,19113,20272,21385,23521,22984,23114,21259,23696,18960,15935,16224,16239,20446,21163,22586,23634,22483,23240,23314,22989,24347,24494,23958,23798,23717,22805,22271,21558,20506,19110,18882,17856
33,Female,6503,5325,7699,6753,8288,9122,10182,10999,10689,10877,11453,10624,12053,10927,11449,11096,11201,10051,9705,10151,10934,11895,11588,11694,10607,11991,9531,7989,8243,8259,10351,10736,11469,11933,11216,11771,11814,11556,12289,12410,12094,12024,12020,11473,11327,11073,10330,9705,9595,9192
33,Male,4106,3473,5338,4575,5583,5808,6279,6853,6817,7273,8632,9486,10237,10109,10869,10391,10534,9447,9408,10121,10451,11626,11396,11420,10652,11705,9429,7946,7981,7980,10095,10427,11117,11701,11267,11469,11500,11433,12058,12084,11864,11774,11697,11332,10944,10485,10176,9405,9287,8664
34,All,12525,10843,9006,13177,11563,13965,14963,16479,17902,17542,18209,19978,20413,22209,21181,22404,21578,21759,19367,19134,20271,21539,23496,23035,23053,21177,23539,18871,15932,16206,16194,20367,21180,22527,23562,22366,23160,23322,22964,24237,24395,23759,23469,22667,22060,21723,21120,20161,18907,18712
34,Female,7505,6571,5387,7738,6823,8312,9122,10227,11015,10693,10853,11351,10727,11967,11009,11492,11137,11199,9986,9713,10194,11030,11922,11652,11699,10622,11960,9493,8022,8263,8244,10357,10764,11478,11946,11232,11756,11844,11589,12285,12381,12016,11894,11540,11165,11128,10901,10207,9637,9532
34,Male,5020,4272,3619,5439,4740,5653,5841,6252,6887,6849,7356,8627,9686,10242,10172,10912,10441,10560,9381,9421,10077,10509,11574,11383,11354,10555,11579,9378,7910,7943,7950,10010,10416,11049,11616,11134,11404,11478,11375,11952,12014,11743,11575,11127,10895,10595,10219,9954,9270,9180
35,All,14598,12786,11062,9160,13430,11666,13989,15004,16530,17937,17654,18151,20033,20711,22280,21382,22371,21624,21753,19333,19160,20361,21607,23410,23023,22922,21059,23468,18790,15896,16139,16154,20325,21177,22378,23477,22332,23135,23298,22864,24143,24200,23460,22509,21864,21541,21343,20777,19973,18713
35,Female,8772,7601,6652,5447,7837,6859,8311,9188,10247,11022,10697,10762,11384,10859,11982,11101,11509,11135,11193,9973,9762,10284,11091,11886,11718,11663,10597,11968,9468,8040,8229,8271,10348,10812,11430,11956,11244,11778,11853,11570,12263,12310,11888,11437,11167,10958,10983,10776,10145,9564
35,Male,5826,5185,4410,3713,5593,4807,5678,5816,6283,6915,6957,7389,8649,9852,10298,10281,10862,10489,10560,9360,9398,10077,10516,11524,11305,11259,10462,11500,9322,7856,7910,7883,9977,10365,10948,11521,11088,11357,11445,11294,11880,11890,11572,11072,10697,10583,10360,10001,9828,9149
36,All,15342,14763,12926,11182,9327,13481,11685,13988,15038,16563,17940,17654,18220,20048,20908,22305,21505,22309,21543,21796,19234,19203,20443,21601,23403,23039,22830,20957,23440,18690,15838,16020,16135,20213,21130,22302,23468,22310,23094,23202,22733,23954,23891,22448,21714,21265,21123,20989,20556,19793
36,Female,9155,8805,7630,6676,5478,7845,6852,8330,9186,10249,10957,10634,10807,11350,10925,11961,11162,11521,11089,11212,9963,9813,10318,11126,11924,11738,11640,10599,11989,9440,8018,8198,8280,10312,10811,11409,11962,11249,11809,11836,11524,12182,12183,11397,11086,10899,10796,10843,10688,10091
36,Male,6187,5958,5296,4506,3849,5636,4833,5658,5852,6314,6983,7020,7413,8698,9983,10344,10343,10788,10454,10584,9271,9390,10125,10475,11479,11301,11190,10358,11451,9250,7820,7822,7855,9901,10319,10893,11506,11061,11285,11366,11209,11772,11708,11051,10628,10366,10327,10146,9868,9702
37,All,15721,15472,14871,13003,11344,9381,13503,11674,14002,15056,16601,17850,17756,18256,20065,21142,22269,21566,22213,21622,21831,19283,19213,20363,21620,23284,23008,22720,20865,23303,18638,15771,15938,16137,20127,21084,22267,23382,22242,22941,23092,22545,23606,22927,21707,21128,20834,20805,20775,20357
37,Female,9304,9183,8822,7634,6706,5485,7848,6865,8324,9181,10213,10842,10662,10814,11334,11020,11954,11199,11485,11096,11244,9994,9832,10321,11160,11920,11763,11639,10581,11969,9437,8003,8187,8290,10311,10820,11411,11956,11258,11775,11799,11461,12033,11722,11096,10859,10727,10679,10772,10605
37,Male,6417,6289,6049,5369,4638,3896,5655,4809,5678,5875,6388,7008,7094,7442,8731,10122,10315,10367,10728,10526,10587,9289,9381,10042,10460,11364,11245,11081,10284,11334,9201,7768,7751,7847,9816,10264,10856,11426,10984,11166,11293,11084,11573,11205,10611,10269,10107,10126,10003,9752
38,All,15375,15861,15579,14946,13160,11416,9409,13482,11708,14016,15110,16545,17885,17843,18370,20125,21371,22178,21530,22190,21608,21847,19329,19182,20317,21555,23201,22955,22628,20758,23259,18584,15717,15798,16097,20018,21077,22198,23282,22165,22846,22900,22265,22617,22191,21122,20658,20428,20595,20591
38,Female,9000,9312,9177,8824,7653,6707,5482,7856,6862,8313,9169,10132,10819,10697,10878,11320,11081,11892,11198,11443,11103,11284,10008,9848,10310,11168,11920,11778,11598,10568,11956,9444,8012,8144,8273,10286,10814,11391,11954,11268,11766,11728,11349,11567,11421,10852,10674,10552,10610,10697
38,Male,6375,6549,6402,6122,5507,4709,3927,5626,4846,5703,5941,6413,7066,7146,7492,8805,10290,10286,10332,10747,10505,10563,9321,9334,10007,10387,11281,11177,11030,10190,11303,9140,7705,7654,7824,9732,10263,10807,11328,10897,11080,11172,10916,11050,10770,10270,9984,9876,9985,9894
39,All,16688,15399,15857,15569,14969,13154,11407,9384,13465,11696,13978,15065,16520,17825,17961,18400,20073,21525,22004,21639,22164,21610,21862,19331,19115,20249,21506,23121,22903,22467,20692,23212,18564,15666,15696,16050,19959,21065,22084,23199,22065,22665,22647,21405,21851,21638,20664,20276,20191,20394
39,Female,9880,8980,9277,9158,8800,7639,6694,5477,7841,6852,8237,9097,10108,10775,10749,10869,11301,11146,11776,11257,11429,11119,11327,10040,9839,10304,11177,11917,11792,11561,10557,11947,9447,8011,8108,8266,10279,10831,11377,11930,11247,11706,11614,10956,11245,11193,10687,10540,10463,10526
39,Male,6808,6419,6580,6411,6169,5515,4713,3907,5624,4844,5741,5968,6412,7050,7212,7531,8772,10379,10228,10382,10735,10491,10535,9291,9276,9945,10329,11204,11111,10906,10135,11265,9117,7655,7588,7784,9680,10234,10707,11269,10818,10959,11033,10449,10606,10445,9977,9736,9728,9868
40,All,15326,16708,15415,15861,15610,14967,13153,11396,9389,13449,11775,13821,15115,16534,17904,18045,18396,20008,21609,21986,21721,22167,21556,21815,19313,19000,20193,21459,23042,22868,22364,20563,23169,18468,15564,15605,16030,19873,21015,22026,23102,21889,22393,21777,20703,21294,21189,20267,20040,19971
40,Female,8899,9882,8981,9278,9165,8791,7636,6706,5475,7831,6859,8126,9097,10118,10788,10827,10846,11259,11183,11723,11310,11454,11121,11322,10061,9823,10282,11198,11918,11803,11523,10506,11948,9418,7976,8088,8271,10275,10827,11368,11900,11201,11600,11231,10624,11037,11018,10518,10454,10377
40,Male,6427,6826,6434,6583,6445,6176,5517,4690,3914,5618,4916,5695,6018,6416,7116,7218,7550,8749,10426,10263,10411,10713,10435,10493,9252,9177,9911,10261,11124,11065,10841,10057,11221,9050,7588,7517,7759,9598,10188,10658,11202,10688,10793,10546,10079,10257,10171,9749,9586,9594
41,All,15518,15318,16682,15375,15856,15580,14926,13125,11392,9378,13427,11774,13712,15152,16544,17865,18133,18375,19946,21779,21918,21699,22152,21525,21718,19277,18923,20136,21427,22862,22722,22270,20523,23082,18363,15519,15522,15973,19801,20932,21929,22942,21644,21627,21164,20122,20804,20817,19997,19842
41,Female,9195,8894,9867,8966,9273,9149,8771,7631,6707,5471,7785,6850,8084,9129,10113,10746,10865,10827,11227,11221,11691,11315,11450,11109,11317,10061,9829,10266,11219,11889,11740,11501,10494,11931,9421,7971,8040,8268,10286,10824,11340,11853,11112,11253,10953,10390,10844,10878,10417,10380
41,Male,6323,6424,6815,6409,6583,6431,6155,5494,4685,3907,5642,4924,5628,6023,6431,7119,7268,7548,8719,10558,10227,10384,10702,10416,10401,9216,9094,9870,10208,10973,10982,10769,10029,11151,8942,7548,7482,7705,9515,10108,10589,11089,10532,10374,10211,9732,9960,9939,9580,9462
42,All,14694,15495,15294,16649,15374,15816,15544,14883,13096,11382,9410,13316,11796,13628,15223,16552,17850,18199,18351,19895,21949,21981,21649,22119,21420,21603,19275,18823,20063,21346,22743,22605,22171,20394,22992,18280,15462,15440,15952,19663,20835,21776,22673,20893,21049,20645,19682,20401,20586,19753
42,Female,8483,9164,8872,9850,8954,9249,9125,8760,7615,6698,5475,7718,6871,8002,9145,10112,10712,10876,10809,11173,11305,11720,11291,11436,11089,11291,10085,9811,10251,11220,11865,11717,11471,10466,11949,9403,7956,8023,8269,10255,10781,11291,11762,10777,11005,10722,10222,10697,10789,10330
42,Male,6211,6331,6422,6799,6420,6567,6419,6123,5481,4684,3935,5598,4925,5626,6078,6440,7138,7323,7542,8722,10644,10261,10358,10683,10331,10312,9190,9012,9812,10126,10878,10888,10700,9928,11043,8877,7506,7417,7683,9408,10054,10485,10911,10116,10044,9923,9460,9704,9797,9423
43,All,15956,14659,15455,15254,16647,15321,15777,15495,14856,13064,11312,9396,13283,11848,13558,15261,16569,17789,18220,18367,19837,21937,21981,21528,22036,21336,21506,19194,18748,19951,21234,22651,22526,22028,20269,22866,18230,15389,15355,15914,19557,20677,21509,21947,20304,20563,20188,19316,20124,20354
43,Female,9125,8479,9159,8857,9856,8934,9232,9127,8751,7605,6637,5472,7700,6917,7949,9164,10112,10687,10896,10805,11167,11324,11771,11251,11407,11068,11261,10084,9797,10246,11173,11841,11690,11445,10441,11933,9404,7930,7995,8283,10226,10737,11185,11428,10516,10793,10540,10095,10599,10711
43,Male,6831,6180,6296,6397,6791,6387,6545,6368,6105,5459,4675,3924,5583,4931,5609,6097,6457,7102,7324,7562,8670,10613,10210,10277,10629,10268,10245,9110,8951,9705,10061,10810,10836,10583,9828,10933,8826,7459,7360,7631,9331,9940,10324,10519,9788,9770,9648,9221,9525,9643
44,All,14590,15889,14609,15401,15212,16604,15273,15712,15449,14812,13057,11208,9428,13173,11886,13461,15288,16557,17704,18259,18288,19794,21814,21954,21379,21983,21209,21364,19130,18616,19843,21116,22547,22385,21880,20162,22788,18146,15342,15208,15806,19391,20462,20873,21402,19787,20130,19826,19042,19872
44,Female,8466,9109,8472,9144,8846,9831,8914,9207,9112,8729,7591,6578,5500,7650,6913,7898,9170,10107,10644,10919,10780,11198,11306,11779,11198,11392,11039,11238,10054,9774,10210,11142,11817,11637,11399,10428,11921,9392,7915,7955,8247,10173,10653,10906,11202,10322,10620,10414,9990,10513
44,Male,6124,6780,6137,6257,6366,6773,6359,6505,6337,6083,5466,4630,3928,5523,4973,5563,6118,6450,7060,7340,7508,8596,10508,10175,10181,10591,10170,10126,9076,8842,9633,9974,10730,10748,10481,9734,10867,8754,7427,7253,7559,9218,9809,9967,10200,9465,9510,9412,9052,9359
45,All,14930,14545,15843,14550,15373,15187,16557,15243,15665,15416,14886,13013,11147,9394,13075,11956,13401,15293,16527,17671,18260,18295,19753,21654,21881,21223,21854,21081,21244,19042,18477,19774,20969,22472,22219,21723,20106,22722,18099,15246,15105,15663,19178,19896,20288,20947,19358,19780,19548,18804
45,Female,8660,8474,9107,8455,9152,8849,9813,8920,9196,9099,8760,7574,6542,5507,7577,6965,7852,9181,10096,10622,10939,10787,11199,11262,11785,11149,11358,11016,11221,10029,9720,10208,11081,11820,11599,11367,10406,11901,9386,7901,7925,8207,10084,10418,10647,11045,10150,10468,10315,9901
45,Male,6270,6071,6736,6095,6221,6338,6744,6323,6469,6317,6126,5439,4605,3887,5498,4991,5549,6112,6431,7049,7321,7508,8554,10392,10096,10074,10496,10065,10023,9013,8757,9566,9888,10652,10620,10356,9700,10821,8713,7345,7180,7456,9094,9478,9641,9902,9208,9312,9233,8903
46,All,15131,14898,14495,15780,14531,15323,15120,16520,15199,15612,15359,14907,12995,11056,9393,13045,12003,13266,15289,16525,17607,18219,18261,19669,21476,21770,21031,21711,20954,21077,18873,18348,19665,20802,22342,22036,21596,20007,22676,18012,15134,14982,15475,18627,19439,19757,20489,18959,19550,19318
46,Female,8741,8685,8480,9106,8471,9149,8822,9817,8906,9184,9074,8790,7578,6516,5506,7557,6994,7785,9175,10091,10598,10926,10795,11170,11226,11772,11101,11318,10992,11187,9964,9682,10197,11012,11805,11537,11342,10375,11900,9372,7870,7879,8135,9855,10235,10422,10866,10015,10393,10237
46,Male,6390,6213,6015,6674,6060,6174,6298,6703,6293,6428,6285,6117,5417,4540,3887,5488,5009,5481,6114,6434,7009,7293,7466,8499,10250,9998,9930,10393,9962,9890,8909,8666,9468,9790,10537,10499,10254,9632,10776,8640,7264,7103,7340,8772,9204,9335,9623,8944,9157,9081
47,All,14772,15088,14849,14448,15747,14473,15246,15080,16460,15143,15654,15300,14940,12919,11011,9429,12996,12041,13153,15298,16517,17604,18117,18199,19570,21320,21662,20854,21556,20783,20917,18723,18207,19543,20600,22196,21917,21504,19899,22544,17892,14990,14809,15102,18143,19024,19299,20099,18686,19287
47,Female,8507,8758,8688,8471,9109,8452,9121,8831,9803,8888,9200,9046,8822,7565,6480,5538,7527,7034,7709,9182,10095,10623,10888,10780,11151,11163,11753,11042,11266,10936,11161,9922,9633,10150,10958,11779,11504,11303,10354,11868,9338,7818,7819,7975,9669,10076,10246,10706,9929,10306
47,Male,6265,6330,6161,5977,6638,6021,6125,6249,6657,6255,6454,6254,6118,5354,4531,3891,5469,5007,5444,6116,6422,6981,7229,7419,8419,10157,9909,9812,10290,9847,9756,8801,8574,9393,9642,10417,10413,10201,9545,10676,8554,7172,6990,7127,8474,8948,9053,9393,8757,8981
48,All,13428,14720,15013,14795,14401,15689,14390,15198,15030,16384,15157,15641,15236,14959,12881,10954,9464,12934,12050,13075,15275,16564,17538,18024,18132,19445,21149,21531,20707,21395,20646,20796,18571,18043,19399,20447,22065,21750,21394,19804,22364,17716,14825,14491,14756,17715,18628,18846,19838,18438
48,Female,7858,8516,8757,8683,8476,9103,8430,9124,8814,9780,8899,9209,9026,8859,7540,6449,5567,7480,7052,7656,9199,10153,10628,10864,10775,11115,11107,11734,11008,11224,10900,11141,9872,9587,10126,10914,11740,11481,11284,10347,11809,9287,7761,7698,7839,9503,9922,10063,10622,9834
48,Male,5570,6204,6256,6112,5925,6586,5960,6074,6216,6604,6258,6432,6210,6100,5341,4505,3897,5454,4998,5419,6076,6411,6910,7160,7357,8330,10042,9797,9699,10171,9746,9655,8699,8456,9273,9533,10325,10269,10110,9457,10555,8429,7064,6793,6917,8212,8706,8783,9216,8604
49,All,15108,13404,14686,14945,14790,14346,15637,14332,15149,14976,16299,15140,15688,15135,14964,12886,10887,9487,12861,12056,12929,15275,16481,17475,17910,18050,19345,20973,21447,20497,21269,20523,20695,18389,17922,19258,20252,21969,21590,21227,19667,22127,17523,14502,14254,14399,17340,18263,18550,19576
49,Female,9274,7873,8531,8752,8703,8465,9085,8429,9111,8797,9744,8899,9254,8988,8875,7535,6410,5578,7444,7063,7583,9230,10130,10618,10808,10753,11097,11056,11711,10945,11202,10891,11128,9826,9549,10090,10850,11734,11418,11223,10312,11740,9231,7636,7602,7694,9373,9789,9956,10532
49,Male,5834,5531,6155,6193,6087,5881,6552,5903,6038,6179,6555,6241,6434,6147,6089,5351,4477,3909,5417,4993,5346,6045,6351,6857,7102,7297,8248,9917,9736,9552,10067,9632,9567,8563,8373,9168,9402,10235,10172,10004,9355,10387,8292,6866,6652,6705,7967,8474,8594,9044
50,All,13030,15088,13369,14612,14928,14715,14263,15593,14265,15097,14987,16188,15153,15635,15090,15014,12803,10798,9514,12811,12078,12857,15264,16435,17403,17789,17931,19244,20780,21323,20306,21068,20412,20543,18239,17782,19113,20077,21827,21398,21035,19441,21820,17158,14181,14014,14109,16942,17992,18276
50,Female,7769,9311,7886,8526,8787,8683,8440,9092,8405,9088,8843,9694,8917,9267,8979,8918,7511,6369,5592,7409,7104,7568,9243,10139,10610,10747,10714,11059,11000,11696,10896,11160,10885,11106,9786,9518,10058,10795,11706,11345,11176,10250,11640,9100,7502,7500,7582,9253,9693,9857
50,Male,5261,5777,5483,6086,6141,6032,5823,6501,5860,6009,6144,6494,6236,6368,6111,6096,5292,4429,3922,5402,4974,5289,6021,6296,6793,7042,7217,8185,9780,9627,9410,9908,9527,9437,8453,8264,9055,9282,10121,10053,9859,9191,10180,8058,6679,6514,6527,7689,8299,8419
51,All,13200,13004,15043,13308,14603,14859,14633,14204,15520,14194,15032,14980,16099,15107,15620,15021,15028,12749,10712,9515,12724,12020,12802,15205,16398,17272,17661,17816,19118,20500,21132,20162,20884,20243,20376,18041,17628,19013,19922,21631,21202,20843,19189,21262,16878,13845,13778,13835,16691,17745
51,Female,8034,7786,9315,7880,8555,8788,8659,8443,9082,8385,9073,8864,9657,8914,9277,8947,8946,7474,6320,5595,7359,7081,7551,9233,10129,10557,10708,10692,11020,10929,11652,10875,11142,10845,11059,9723,9459,10045,10741,11659,11282,11131,10160,11408,8998,7374,7427,7461,9172,9590
51,Male,5166,5218,5728,5428,6048,6071,5974,5761,6438,5809,5959,6116,6442,6193,6343,6074,6082,5275,4392,3920,5365,4939,5251,5972,6269,6715,6953,7124,8098,9571,9480,9287,9742,9398,9317,8318,8169,8968,9181,9972,9920,9712,9029,9854,7880,6471,6351,6374,7519,8155
52,All,11524,13179,12968,14974,13266,14543,14787,14575,14138,15427,14293,14917,14951,15954,15091,15589,14926,15057,12693,10617,9483,12713,11914,12739,15117,16326,17146,17485,17675,18965,20363,20901,19990,20717,20085,20222,17849,17487,18851,19715,21415,20963,20522,18740,20701,16626,13562,13539,13629,16395
52,Female,6944,8062,7809,9308,7908,8546,8775,8663,8432,9047,8469,9027,8886,9609,8939,9293,8911,8982,7450,6255,5598,7389,7047,7534,9213,10137,10535,10655,10648,10974,10898,11568,10824,11120,10824,11039,9666,9416,9996,10661,11593,11209,11021,9996,11177,8923,7266,7364,7376,9071
52,Male,4580,5117,5159,5666,5358,5997,6012,5912,5706,6380,5824,5890,6065,6345,6152,6296,6015,6075,5243,4362,3885,5324,4867,5205,5904,6189,6611,6830,7027,7991,9465,9333,9166,9597,9261,9183,8183,8071,8855,9054,9822,9754,9501,8744,9524,7703,6296,6175,6253,7324
53,All,11927,11511,13158,12901,14934,13191,14428,14714,14490,14034,15385,14301,14831,14924,15834,15060,15564,14825,15048,12646,10531,9422,12669,11811,12680,15044,16250,17051,17314,17523,18864,20201,20707,19808,20514,19873,20059,17698,17326,18662,19498,21175,20651,19972,18330,20174,16330,13296,13350,13381
53,Female,7279,6973,8079,7805,9328,7891,8515,8796,8637,8400,9046,8503,9010,8912,9576,8941,9302,8871,8991,7429,6217,5575,7389,7022,7533,9217,10131,10513,10583,10610,10949,10863,11508,10773,11065,10767,10991,9633,9371,9977,10592,11525,11104,10787,9866,10974,8837,7174,7308,7299
53,Male,4648,4538,5079,5096,5606,5300,5913,5918,5853,5634,6339,5798,5821,6012,6258,6119,6262,5954,6057,5217,4314,3847,5280,4789,5147,5827,6119,6538,6731,6913,7915,9338,9199,9035,9449,9106,9068,8065,7955,8685,8906,9650,9547,9185,8464,9200,7493,6122,6042,6082
54,All,11745,11883,11460,13091,12848,14833,13092,14352,14631,14398,13979,15290,14305,14700,14908,15736,15016,15510,14701,15027,12571,10422,9343,12600,11702,12554,14930,16141,16931,17099,17373,18723,20018,20478,19603,20267,19689,19886,17499,17161,18459,19244,20857,20147,19583,17916,19701,16074,13101,13158
54,Female,7373,7291,6975,8080,7800,9297,7865,8523,8776,8599,8370,9013,8539,8936,8951,9534,8944,9301,8830,8999,7408,6160,5548,7377,6978,7502,9190,10097,10491,10488,10550,10916,10799,11425,10720,10993,10719,10951,9568,9306,9908,10520,11434,10927,10658,9723,10814,8751,7102,7248
54,Male,4372,4592,4485,5011,5048,5536,5227,5829,5855,5799,5609,6277,5766,5764,5957,6202,6072,6209,5871,6028,5163,4262,3795,5223,4724,5052,5740,6044,6440,6611,6823,7807,9219,9053,8883,9274,8970,8935,7931,7855,8551,8724,9423,9220,8925,8193,8887,7323,5999,5910
55,All,10717,11707,11848,11375,13042,12738,14709,13028,14262,14513,14358,13933,15171,14331,14575,14833,15600,14990,15454,14585,14995,12483,10369,9268,12551,11600,12449,14801,16050,16798,16897,17210,18525,19823,20229,19401,20066,19502,19759,17284,16956,18228,18951,20347,19665,19146,17486,19282,15832,12867
55,Female,6630,7392,7309,6962,8102,7765,9256,7882,8497,8738,8605,8378,8981,8583,8884,8960,9481,8953,9295,8780,9000,7369,6158,5528,7385,6945,7476,9146,10092,10482,10414,10496,10857,10745,11358,10671,10953,10684,10914,9499,9241,9833,10431,11235,10752,10498,9597,10664,8670,7015
55,Male,4087,4315,4539,4413,4940,4973,5453,5146,5765,5775,5753,5555,6190,5748,5691,5873,6119,6037,6159,5805,5995,5114,4211,3740,5166,4655,4973,5655,5958,6316,6483,6714,7668,9078,8871,8730,9113,8818,8845,7785,7715,8395,8520,9112,8913,8648,7889,8618,7162,5852
56,All,10908,10674,11665,11773,11317,12951,12627,14619,12917,14139,14411,14270,13853,15021,14313,14453,14804,15425,14896,15393,14450,14881,12399,10303,9217,12508,11497,12318,14699,15952,16631,16771,17027,18297,19588,19976,19134,19921,19320,19552,17082,16707,17906,18483,19895,19139,18690,17156,18948,15594
56,Female,6874,6659,7413,7317,6983,8073,7732,9253,7852,8457,8713,8587,8357,8929,8617,8858,8989,9412,8936,9303,8731,8967,7351,6156,5526,7381,6935,7447,9125,10075,10412,10400,10451,10796,10682,11301,10603,10911,10651,10870,9435,9173,9745,10228,11076,10562,10363,9480,10540,8591
56,Male,4034,4015,4252,4456,4334,4878,4895,5366,5065,5682,5698,5683,5496,6092,5696,5595,5815,6013,5960,6090,5719,5914,5048,4147,3691,5127,4562,4871,5574,5877,6219,6371,6576,7501,8906,8675,8531,9010,8669,8682,7647,7534,8161,8255,8819,8577,8327,7676,8408,7003
57,All,10832,10915,10640,11585,11755,11211,12845,12545,14515,12792,14067,14292,14204,13791,14909,14299,14294,14707,15253,14817,15302,14386,14726,12316,10226,9137,12419,11382,12211,14569,15731,16458,16588,16875,18122,19370,19717,18919,19704,19039,19290,16801,16431,17498,18033,19402,18656,18304,16866,18576
57,Female,6760,6933,6682,7410,7352,6958,8038,7749,9237,7815,8443,8659,8564,8374,8900,8653,8801,8972,9349,8903,9296,8750,8914,7321,6166,5512,7356,6889,7415,9111,9987,10339,10345,10391,10751,10617,11231,10556,10866,10579,10771,9344,9073,9606,10041,10895,10399,10233,9388,10421
