Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
6,Female,6280,6610,6835,8315,8462,9103,9076,8795,9103,9409,9025,9548,9678,9405,9307,9559,9945,10133,10233,9904,9630,9766,9425,9406,9469,10056,10151,10877,10778,10936,10512,10829,10665,10965,10927,10880,10894,11140,11286,11470,11892,11967,11617,11048,11196,11130,10611,9762,8565,8160
6,Male,6648,6732,7098,8650,8994,9531,9586,9243,9593,9835,9558,9930,10022,9604,9761,10120,10413,10537,10417,10589,10107,10440,9865,9719,9620,10579,10592,11161,11391,11394,11016,11074,11265,11299,11525,11231,11416,11626,11846,11849,12341,12164,11890,11653,11853,11509,11275,10367,8994,8568
7,All,14975,13150,13523,14079,17181,17548,18686,18725,18103,18750,19207,18512,19568,19843,19200,19304,19852,20495,20697,20770,20600,19869,20214,19252,19143,18998,20641,20846,21990,22098,22382,21586,21855,21940,22247,22463,22197,22363,22804,23082,23286,24098,23910,22696,22169,22717,22404,21695,20044,17489
7,Female,7361,6387,6695,6902,8416,8506,9126,9149,8827,9131,9411,9009,9586,9752,9483,9415,9639,10003,10175,10285,9954,9692,9773,9437,9423,9437,10076,10200,10880,10756,10935,10513,10814,10672,10955,10930,10904,10914,11175,11266,11470,11835,11851,11199,10769,11025,11000,10522,9715,8542
7,Male,7614,6763,6828,7177,8765,9042,9560,9576,9276,9619,9796,9503,9982,10091,9717,9889,10213,10492,10522,10485,10646,10177,10441,9815,9720,9561,10565,10646,11110,11342,11447,11073,11041,11268,11292,11533,11293,11449,11629,11816,11816,12263,12059,11497,11400,11692,11404,11173,10329,8947
8,All,18242,15170,13298,13640,14259,17259,17598,18742,18777,18150,18734,19073,18543,19699,20029,19372,19472,19943,20551,20759,20849,20689,19967,20212,19193,19116,18948,20648,20967,21958,22126,22445,21649,21841,21886,22285,22452,22329,22370,22744,23022,23174,23890,23075,22148,21829,22441,22152,21600,19964
8,Female,8891,7447,6456,6749,6986,8456,8530,9186,9173,8848,9093,9335,9018,9659,9859,9549,9511,9677,10040,10244,10323,9964,9725,9785,9397,9419,9413,10072,10263,10826,10767,10960,10541,10787,10664,11002,10931,10983,10935,11179,11236,11409,11722,11423,10916,10607,10905,10872,10478,9671
8,Male,9351,7723,6842,6891,7273,8803,9068,9556,9604,9302,9641,9738,9525,10040,10170,9823,9961,10266,10511,10515,10526,10725,10242,10427,9796,9697,9535,10576,10704,11132,11359,11485,11108,11054,11222,11283,11521,11346,11435,11565,11786,11765,12168,11652,11232,11222,11536,11280,11122,10293
9,All,16259,18345,15256,13365,13759,14311,17282,17623,18770,18804,18052,18658,19040,18619,19813,20150,19455,19581,19986,20630,20749,20958,20825,20002,20186,19137,19103,18879,20672,21055,21989,22201,22516,21746,21844,21906,22367,22524,22378,22318,22706,22900,22937,23060,22579,21794,21546,22171,22051,21512
9,Female,7911,8943,7492,6488,6811,7015,8467,8566,9204,9188,8738,9046,9297,9071,9722,9916,9608,9567,9705,10072,10247,10378,10033,9736,9776,9401,9400,9366,10077,10307,10832,10806,10968,10578,10797,10679,11030,10956,11022,10918,11152,11167,11297,11318,11178,10729,10470,10777,10826,10432
9,Male,8348,9402,7764,6877,6948,7296,8815,9057,9566,9616,9314,9612,9743,9548,10091,10234,9847,10014,10281,10558,10502,10580,10792,10266,10410,9736,9703,9513,10595,10748,11157,11395,11548,11168,11047,11227,11337,11568,11356,11400,11554,11733,11640,11742,11401,11065,11076,11394,11225,11080
10,All,16908,16349,18419,15322,13472,13798,14330,17324,17652,18791,18786,17905,18673,19072,18642,19939,20226,19517,19678,20079,20665,20944,21086,20891,20007,20172,19120,19096,18860,20724,21044,22055,22252,22641,21788,21877,21998,22430,22547,22409,22267,22586,22711,22121,22519,22251,21516,21304,22059,21963
10,Female,8317,7978,8994,7542,6565,6843,7030,8520,8588,9225,9142,8642,9033,9288,9099,9818,9977,9627,9618,9760,10106,10319,10425,10036,9753,9771,9391,9432,9373,10116,10291,10862,10816,11029,10579,10814,10725,11063,10966,11038,10884,11087,11070,10883,11047,11011,10586,10355,10720,10773
10,Male,8591,8371,9425,7780,6907,6955,7300,8804,9064,9566,9644,9263,9640,9784,9543,10121,10249,9890,10060,10319,10559,10625,10661,10855,10254,10401,9729,9664,9487,10608,10753,11193,11436,11612,11209,11063,11273,11367,11581,11371,11383,11499,11641,11238,11472,11240,10930,10949,11339,11190
11,All,17768,16981,16404,18460,15401,13503,13821,14345,17345,17664,18691,18682,17883,18803,19095,18666,19964,20299,19537,19852,20016,20799,21082,21082,20862,19989,20119,19099,19122,18856,20674,21069,22056,22277,22707,21840,21940,22034,22485,22465,22353,22146,22398,21983,21621,22204,21992,21228,21174,21973
11,Female,8518,8350,8004,9012,7577,6578,6852,7053,8528,8594,9121,9042,8631,9060,9272,9098,9820,10023,9642,9710,9750,10147,10346,10424,10038,9757,9768,9389,9460,9381,10077,10306,10881,10811,11050,10603,10846,10741,11087,10940,11019,10829,10984,10708,10638,10889,10875,10451,10304,10675
11,Male,9250,8631,8400,9448,7824,6925,6969,7292,8817,9070,9570,9640,9252,9743,9823,9568,10144,10276,9895,10142,10266,10652,10736,10658,10824,10232,10351,9710,9662,9475,10597,10763,11175,11466,11657,11237,11094,11293,11398,11525,11334,11317,11414,11275,10983,11315,11117,10777,10870,11298
12,All,17810,17861,17050,16466,18561,15443,13527,13860,14375,17369,17546,18503,18681,17946,18914,19176,18662,19986,20262,19597,19845,20175,20911,21206,21105,20911,20018,20102,19036,19151,18843,20671,21115,22143,22340,22756,21931,21972,22065,22483,22425,22221,21949,21615,21487,21292,21940,21748,21118,21073
12,Female,8410,8572,8397,8047,9071,7604,6595,6895,7070,8545,8495,9000,9009,8610,9099,9296,9106,9826,9999,9663,9715,9807,10167,10360,10460,10056,9775,9769,9368,9492,9370,10058,10330,10896,10840,11048,10640,10851,10769,11084,10919,10956,10733,10602,10446,10482,10762,10749,10391,10252
